"Statistic Label","Year","Region Visited","UNIT","VALUE"
"Estimated Expenditure by Irish Residents on Domestic Travel","2021","Dublin","Euro Million","157"
"Estimated Expenditure by Irish Residents on Domestic Travel","2021","Mid-East","Euro Million","90"
"Estimated Expenditure by Irish Residents on Domestic Travel","2021","Midland","Euro Million","47"
"Estimated Expenditure by Irish Residents on Domestic Travel","2022","State","Euro Million","2930"
"Estimated Expenditure by Irish Residents on Domestic Travel","2022","Northern and Western","Euro Million","809"
"Estimated Expenditure by Irish Residents on Domestic Travel","2022","Border","Euro Million","350"
"Estimated Expenditure by Irish Residents on Domestic Travel","2022","West","Euro Million","459"
"Estimated Expenditure by Irish Residents on Domestic Travel","2022","Southern","Euro Million","1307"
"Estimated Expenditure by Irish Residents on Domestic Travel","2022","Mid-West","Euro Million","261"
"Estimated Expenditure by Irish Residents on Domestic Travel","2022","South-East","Euro Million","381"
"Estimated Expenditure by Irish Residents on Domestic Travel","2022","South-West","Euro Million","665"
"Estimated Expenditure by Irish Residents on Domestic Travel","2022","Eastern and Midland","Euro Million","814"
"Estimated Expenditure by Irish Residents on Domestic Travel","2022","Dublin","Euro Million","419"
"Estimated Expenditure by Irish Residents on Domestic Travel","2022","Mid-East","Euro Million","213"
"Estimated Expenditure by Irish Residents on Domestic Travel","2022","Midland","Euro Million","182"
"Estimated Expenditure by Irish Residents on Domestic Travel","2023","State","Euro Million","3087.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2023","Northern and Western","Euro Million","763.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2023","Border","Euro Million","340.5"
"Estimated Expenditure by Irish Residents on Domestic Travel","2023","West","Euro Million","423.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2023","Southern","Euro Million","1493.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2023","Mid-West","Euro Million","297.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2023","South-East","Euro Million","361.7"
"Estimated Expenditure by Irish Residents on Domestic Travel","2023","South-West","Euro Million","834.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2023","Eastern and Midland","Euro Million","830.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2023","Dublin","Euro Million","485.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2023","Mid-East","Euro Million","219"
"Estimated Expenditure by Irish Residents on Domestic Travel","2023","Midland","Euro Million","126.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2024","State","Euro Million","3570.5"
"Estimated Expenditure by Irish Residents on Domestic Travel","2024","Northern and Western","Euro Million","992.5"
"Estimated Expenditure by Irish Residents on Domestic Travel","2024","Border","Euro Million","384.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2024","West","Euro Million","608.2"
"Estimated Expenditure by Irish Residents on Domestic Travel","2024","Southern","Euro Million","1517.7"
"Estimated Expenditure by Irish Residents on Domestic Travel","2024","Mid-West","Euro Million","345.5"
"Estimated Expenditure by Irish Residents on Domestic Travel","2024","South-East","Euro Million","418.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2024","South-West","Euro Million","753.8"
"Estimated Expenditure by Irish Residents on Domestic Travel","2024","Eastern and Midland","Euro Million","1060.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2024","Dublin","Euro Million","576.8"
"Estimated Expenditure by Irish Residents on Domestic Travel","2024","Mid-East","Euro Million","308.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2024","Midland","Euro Million","175.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2025","State","Euro Million","3578"
"Estimated Expenditure by Irish Residents on Domestic Travel","2025","Northern and Western","Euro Million","941.5"
"Estimated Expenditure by Irish Residents on Domestic Travel","2025","Border","Euro Million","355.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2025","West","Euro Million","585.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2025","Southern","Euro Million","1648.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2025","Mid-West","Euro Million","308.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2025","South-East","Euro Million","475.8"
"Estimated Expenditure by Irish Residents on Domestic Travel","2025","South-West","Euro Million","864.2"
"Estimated Expenditure by Irish Residents on Domestic Travel","2025","Eastern and Midland","Euro Million","988.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2025","Dublin","Euro Million","494.2"
"Estimated Expenditure by Irish Residents on Domestic Travel","2025","Mid-East","Euro Million","245.2"
"Estimated Expenditure by Irish Residents on Domestic Travel","2025","Midland","Euro Million","248.8"
